TSW70, BEIBELE (Tswana) 
RWV, Tongan Bible Revised West Version (Tongan) 
TCL02, Kutsal Kitap Yeni Ceviri (Turkish) 
TSO29NO, Bibele (Tsonga) 
TSO89, BIBELE Mahungu Lamanene (Tsonga) 
NATWI, Nkwa Asem (Twi) 
ERVUR, Urdu Bible: Easy-to-Read Version (Urdu) 
URD, Revised Urdu Bible (Urdu) 
VEN98, BIVHILI KHETHWA Mafhungo Madifha (Venda) 
BPT, Vietnamese Bible Easy-to-Read Version (Vietnamese) 
RVV11, Revised Vietnamese Version Bible (Vietnamese) 
XHO75, IZIBHALO EZINGCWELE (Xhosa) 
XHO96, IBHAYIBHILE (Xhosa) 
BM, BIBELI MIMỌ (Yoruba) 
CCB, 当代译本 (Simplified Chinese) 
CNVT, 新译本 (Simplified Chinese) 
CSBS, 中文标准译本 (Simplified Chinese) 
CUNPSS, 新标点和合本 (Simplified Chinese) 
RCUVSS, 和合本修订版 (Simplified Chinese) 
CNVT, 新譯本 (Traditional Chinese) 
CUNPTS, 新標點和合本 (Traditional Chinese) 
RCUVTS, 和合本修訂版 (Traditional Chinese) 
ZOMI, Laisiengthou (Zou) 
ZUL59, IBHAYIBHELI ELINGCWELE (Zulu) 
