Start date, 2017-07-16
End date, 2017-09-23
Total requests, 12666
Total unique devices, 560
Total sessions, 2711
Average response time, 0.67ms

Language, DeviceCount, Percentage
spa, 5, 0.9%
chs, 97, 17.3%
eng, 386, 68.9%
cht, 72, 12.9%

Date, Unique devices, Sessions, Requests
e42d0064-4ac3-4202-9b5f-ff3facc4d29e, cht, 2017-08-29 07:33:33, 26
C752B684-73B6-441E-893B-143B33521C61, cht, 2017-08-02 22:30:49, 52
EFE47F4A-1C6F-41E7-BF7E-BCC24680F01A, eng, 2017-09-14 07:34:08, 10
4F4852CB-6C58-4628-B915-EEAF3CC9B9CA, cht, 2017-08-06 17:11:06, 48
A67186A0-E788-41DC-A2B1-719A51AE5B1C, cht, 2017-09-21 14:22:24, 2
F9A8F54A-6C09-44F7-83D6-ECBA1E6DC7B2, chs, 2017-09-20 22:10:02, 3
17095CAF-25D7-4CEE-84BB-74FCA52FA346, chs, 2017-09-15 10:22:42, 8
DF375788-9653-4C5E-A1A2-27F12E4DBC04, eng, 2017-08-16 16:28:44, 38
B83F90B2-01AF-46E4-BAC5-1481B6BA117F, eng, 2017-08-04 17:36:30, 50
f716c595-b177-4761-a700-f912da4832b0, eng, 2017-08-04 18:41:32, 50
0D17E159-BDCE-4B2C-970A-D98DEBC633F2, eng, 2017-08-05 10:01:25, 50
06DBAF49-A9D3-4B59-ADC0-3032E07F0538, cht, 2017-08-05 14:33:02, 49
83CA76F2-CD82-4B88-972A-6AA97887F660, eng, 2017-08-26 15:14:55, 28
ddc276e1-1994-4c38-a325-8f262808459b, cht, 2017-09-21 19:35:58, 2
158D18C1-B480-4079-95D4-4CDABE9D3851, chs, 2017-08-10 16:24:16, 44
0CB1DD1E-C39A-40DF-85DC-A68F2B8A9FDB, chs, 2017-09-08 17:33:03, 15
CD204D9A-4720-46ED-85E3-982BAE3CEE3A, cht, 2017-09-04 13:12:09, 19
F12F7B0E-87B8-49CE-9878-C196CE207532, eng, 2017-08-08 10:29:39, 46
C69B43A1-6D09-45E2-BCD1-B0F886BF9CDC, eng, 2017-09-06 10:30:56, 17
CE18A010-3427-41F9-9E42-3ECE2C4091DD, eng, 2017-08-08 18:09:03, 46
9a0df8cd-a18e-4243-a682-74a547cbd215, chs, 2017-09-11 17:56:30, 12
5CAF37FC-1A3B-49E9-947A-E0F9D8BFCF2B, eng, 2017-08-09 21:42:46, 45
22655F1F-B72C-4142-B7FB-504A72F9E2BC, cht, 2017-09-17 09:53:02, 7
B248F199-50D6-4419-8609-BF93DD885C1E, cht, 2017-09-22 21:01:38, 1
83C7DCF2-75DE-4A78-81FA-504AB7845E28, eng, 2017-09-22 21:45:56, 1
05B890AA-7FAD-4DFC-8989-F8D526C2C205, chs, 2017-09-11 18:51:03, 12
ED7669AA-72AF-4F19-971C-98F39E8CD7A0, cht, 2017-09-18 00:00:20, 6
55df664b-27a3-4b64-9644-d298491d24f2, eng, 2017-09-01 15:42:03, 22
3F0FA259-C673-499F-AC3B-965E00852111, eng, 2017-09-15 16:51:54, 8
18929206-C266-4907-9E12-F7BE6D305E94, eng, 2017-08-21 08:00:14, 34
1E71F0A8-B70C-465E-980B-072FFB6BBA9C, eng, 2017-09-23 06:48:07, 1
A4A99F0D-6F19-48C2-8DF1-8BC3C659056B, eng, 2017-09-22 08:42:44, 2
B6466BD4-9A15-4608-B82A-5395A8A87E1A, eng, 2017-09-23 08:40:24, 1
74249919-151E-4AA0-ABC3-BF8F328977A5, eng, 2017-09-19 06:18:17, 5
72EE3AED-860F-4DF9-998E-03DD8B97D80D, eng, 2017-09-20 08:44:33, 4
7B6D8782-4FB8-4D1F-997F-DB9829C52898, eng, 2017-09-23 07:09:50, 1
90416C64-C595-4124-9AC8-D171DDC369AA, eng, 2017-08-20 06:31:07, 35
F1F6A0FB-9375-49A9-999C-FDA50CF9E8C1, eng, 2017-08-28 16:45:22, 26
CA0ADFD4-D7EC-4671-AFC2-B89C78BDD36C, eng, 2017-08-21 19:39:10, 33
0DD160A7-4488-4793-B773-4D4BA1EE12AE, eng, 2017-09-18 14:59:55, 5
